,COU,Country,Year,Value
0,SVN,Slovenia,2002,-0.01
1,SVN,Slovenia,2003,-0.01
2,SVN,Slovenia,2004,-0.01
3,SVN,Slovenia,2005,-0.01
4,SVN,Slovenia,2006,0.05
5,SVN,Slovenia,2007,0.04
6,SVN,Slovenia,2008,0.04
7,SVN,Slovenia,2009,0.04
8,SVN,Slovenia,2010,0.08
9,SVN,Slovenia,2011,0.08
10,SVN,Slovenia,2012,0.2
11,SVN,Slovenia,2013,0.19
12,SVN,Slovenia,2014,0.19
13,SVN,Slovenia,2015,0.19
14,SVN,Slovenia,2016,0.19
15,SVN,Slovenia,2017,0.21
16,SVN,Slovenia,2018,0.21
17,CZE,Czech Republic,2002,-0.02
18,CZE,Czech Republic,2003,-0.02
19,CZE,Czech Republic,2004,-0.02
20,CZE,Czech Republic,2005,0.3
21,CZE,Czech Republic,2006,0.27
22,CZE,Czech Republic,2007,0.27
23,CZE,Czech Republic,2008,0.23
24,CZE,Czech Republic,2009,0.21
25,CZE,Czech Republic,2010,0.2
26,CZE,Czech Republic,2011,0.2
27,CZE,Czech Republic,2012,0.2
28,CZE,Czech Republic,2013,0.2
29,CZE,Czech Republic,2014,0.21
30,CZE,Czech Republic,2015,0.21
31,CZE,Czech Republic,2016,0.21
32,CZE,Czech Republic,2017,0.21
33,CZE,Czech Republic,2018,0.21
34,FRA,France,2002,0.08
35,FRA,France,2003,0.08
36,FRA,France,2004,0.15
37,FRA,France,2005,0.15
38,FRA,France,2006,0.21
39,FRA,France,2007,0.21
40,FRA,France,2008,0.43
41,FRA,France,2009,0.43
42,FRA,France,2010,0.43
43,FRA,France,2011,0.44
44,FRA,France,2012,0.44
45,FRA,France,2013,0.45
46,FRA,France,2014,0.45
47,FRA,France,2015,0.45
48,FRA,France,2016,0.43
49,FRA,France,2017,0.43
50,FRA,France,2018,0.43
51,ROU,Romania,2002,-0.02
52,ROU,Romania,2003,-0.02
53,ROU,Romania,2004,-0.02
54,ROU,Romania,2005,-0.01
55,ROU,Romania,2006,-0.01
56,ROU,Romania,2007,-0.01
57,ROU,Romania,2008,-0.01
58,ROU,Romania,2009,-0.01
59,ROU,Romania,2010,0.08
60,ROU,Romania,2011,0.08
61,ROU,Romania,2012,0.08
62,ROU,Romania,2013,0.08
63,ROU,Romania,2014,0.08
64,ROU,Romania,2015,0.08
65,ROU,Romania,2016,0.08
66,ROU,Romania,2017,0.08
67,ROU,Romania,2018,0.08
68,DEU,Germany,2002,-0.03
69,DEU,Germany,2003,-0.04
70,DEU,Germany,2004,-0.03
71,DEU,Germany,2005,-0.03
72,DEU,Germany,2006,-0.03
73,DEU,Germany,2007,-0.03
74,DEU,Germany,2008,-0.02
75,DEU,Germany,2009,-0.02
76,DEU,Germany,2010,-0.02
77,DEU,Germany,2011,-0.02
78,DEU,Germany,2012,-0.02
79,DEU,Germany,2013,-0.02
80,DEU,Germany,2014,-0.02
81,DEU,Germany,2015,-0.02
82,DEU,Germany,2016,-0.02
83,DEU,Germany,2017,-0.02
84,DEU,Germany,2018,-0.02
85,GBR,United Kingdom,2002,0.1
86,GBR,United Kingdom,2003,0.1
87,GBR,United Kingdom,2004,0.1
88,GBR,United Kingdom,2005,0.1
89,GBR,United Kingdom,2006,0.1
90,GBR,United Kingdom,2007,0.1
91,GBR,United Kingdom,2008,0.11
92,GBR,United Kingdom,2009,0.11
93,GBR,United Kingdom,2010,0.11
94,GBR,United Kingdom,2011,0.09
95,GBR,United Kingdom,2012,0.09
96,GBR,United Kingdom,2013,0.09
97,GBR,United Kingdom,2014,0.09
98,GBR,United Kingdom,2015,0.1
99,GBR,United Kingdom,2016,0.1
100,GBR,United Kingdom,2017,0.1
101,GBR,United Kingdom,2018,0.11
102,MLT,Malta,2002,0.07
103,MLT,Malta,2003,0.22
104,MLT,Malta,2004,0.22
105,MLT,Malta,2005,0.22
106,MLT,Malta,2006,0.22
107,MLT,Malta,2007,0.22
108,MLT,Malta,2008,0.22
109,MLT,Malta,2009,0.22
110,MLT,Malta,2010,0.22
111,MLT,Malta,2011,0.22
112,MLT,Malta,2012,0.22
113,MLT,Malta,2013,0.22
114,MLT,Malta,2014,0.22
115,MLT,Malta,2015,0.22
116,MLT,Malta,2016,0.22
117,MLT,Malta,2017,0.22
118,MLT,Malta,2018,0.22
